sample_id,patient
SPA154,Patient A
SPA153,Patient A
SPA152,Patient A
SPA151,Patient A
SPA150,Patient A
SPA149,Patient A
SPA148,Patient B
SPA147,Patient B
SPA146,Patient B
SPA145,Patient B
SPA144,Patient B
SPA143,Patient B
SPA142,Patient C
SPA141,Patient C
SPA140,Patient C
SPA139,Patient C
SPA138,Patient C
SPA137,Patient C
SPA136,Patient D
SPA135,Patient D
SPA134,Patient D
SPA133,Patient D
SPA132,Patient D
SPA131,Patient D
SPA130,Patient E
SPA129,Patient E
SPA128,Patient E
SPA127,Patient F
SPA126,Patient F
SPA125,Patient F
SPA124,Patient G
SPA123,Patient G
SPA122,Patient G
SPA121,Patient H
SPA120,Patient H
SPA119,Patient H
